#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2008
# Year max: 2016
# Final Processing Date: 2024-10-16
# Final Processing Time: 15:11:16
# Spline RMSE gcc_mean: 0.00566
# Spline RMSE gcc_50: 0.00586
# Spline RMSE gcc_75: 0.00579
# Spline RMSE gcc_90: 0.00588
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,1000,rising,gcc_90,2008-05-04,2008-05-07,2008-05-12,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-08,2008-05-13,0.37652,0.39092,0.42337,0.36838,0.47451
bartlettir,DB,1000,rising,gcc_90,2009-04-30,2009-05-05,2009-05-11,2009-04-28,2009-05-04,2009-05-09,2009-05-02,2009-05-06,2009-05-12,0.37507,0.39127,0.42361,0.36507,0.47161
bartlettir,DB,1000,rising,gcc_90,2010-04-25,2010-04-28,2010-05-03,2010-04-24,2010-04-27,2010-05-02,2010-04-27,2010-04-30,2010-05-04,0.37562,0.3889,0.42608,0.36701,0.47606
bartlettir,DB,1000,rising,gcc_90,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-07,2011-05-10,2011-05-15,0.37627,0.39077,0.42102,0.3655,0.47429
bartlettir,DB,1000,rising,gcc_90,2012-04-26,2012-05-03,2012-05-10,2012-04-16,2012-05-02,2012-05-08,2012-04-30,2012-05-05,2012-05-11,0.3748,0.38926,0.42545,0.36359,0.47683
bartlettir,DB,1000,rising,gcc_90,2013-04-30,2013-05-03,2013-05-08,2013-04-29,2013-05-02,2013-05-07,2013-05-02,2013-05-05,2013-05-09,0.37337,0.38667,0.42201,0.36401,0.47634
bartlettir,DB,1000,rising,gcc_90,2014-05-08,2014-05-12,2014-05-17,2014-05-07,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.3755,0.39562,0.43444,0.36708,0.48655
bartlettir,DB,1000,rising,gcc_90,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-07,2015-05-12,0.37987,0.39593,0.43219,0.37047,0.48421
bartlettir,DB,1000,rising,gcc_90,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.38127,0.39574,0.42949,0.37087,0.4864
bartlettir,DB,1000,rising,gcc_75,2008-05-04,2008-05-07,2008-05-12,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-08,2008-05-13,0.37523,0.38956,0.4218,0.36731,0.47179
bartlettir,DB,1000,rising,gcc_75,2009-04-30,2009-05-05,2009-05-10,2009-04-28,2009-05-04,2009-05-09,2009-05-02,2009-05-06,2009-05-11,0.37429,0.38996,0.41645,0.36411,0.46823
bartlettir,DB,1000,rising,gcc_75,2010-04-25,2010-04-29,2010-05-03,2010-04-24,2010-04-28,2010-05-02,2010-04-27,2010-04-30,2010-05-04,0.37391,0.39303,0.42465,0.36602,0.47433
bartlettir,DB,1000,rising,gcc_75,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-08,2011-05-11,2011-05-15,0.37263,0.38768,0.41908,0.36442,0.47087
bartlettir,DB,1000,rising,gcc_75,2012-04-26,2012-05-03,2012-05-10,2012-04-16,2012-05-02,2012-05-08,2012-04-29,2012-05-05,2012-05-11,0.37314,0.38792,0.42396,0.36203,0.47572
bartlettir,DB,1000,rising,gcc_75,2013-04-30,2013-05-03,2013-05-08,2013-04-29,2013-05-02,2013-05-07,2013-05-02,2013-05-05,2013-05-09,0.37178,0.38509,0.42032,0.36265,0.47497
bartlettir,DB,1000,rising,gcc_75,2014-05-08,2014-05-12,2014-05-17,2014-05-07,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.37424,0.39425,0.43282,0.36611,0.48294
bartlettir,DB,1000,rising,gcc_75,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-07,2015-05-12,0.37897,0.39503,0.43113,0.36982,0.48156
bartlettir,DB,1000,rising,gcc_75,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-10,2016-05-14,2016-05-18,0.38059,0.39459,0.42823,0.37005,0.4844
bartlettir,DB,1000,rising,gcc_50,2008-05-04,2008-05-07,2008-05-12,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-08,2008-05-13,0.373,0.38727,0.41932,0.36525,0.46712
bartlettir,DB,1000,rising,gcc_50,2009-04-29,2009-05-04,2009-05-10,2009-04-28,2009-05-03,2009-05-09,2009-05-02,2009-05-06,2009-05-11,0.37041,0.38352,0.41404,0.36164,0.46484
bartlettir,DB,1000,rising,gcc_50,2010-04-25,2010-04-29,2010-05-03,2010-04-24,2010-04-28,2010-05-02,2010-04-27,2010-04-30,2010-05-04,0.37114,0.3903,0.42229,0.36407,0.47255
bartlettir,DB,1000,rising,gcc_50,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-08,2011-05-11,2011-05-15,0.36912,0.38422,0.41568,0.36156,0.46472
bartlettir,DB,1000,rising,gcc_50,2012-04-26,2012-05-03,2012-05-10,2012-04-17,2012-05-02,2012-05-08,2012-04-29,2012-05-05,2012-05-11,0.37037,0.3857,0.42146,0.35946,0.47331
bartlettir,DB,1000,rising,gcc_50,2013-04-30,2013-05-03,2013-05-08,2013-04-29,2013-05-02,2013-05-07,2013-05-02,2013-05-05,2013-05-09,0.36914,0.38245,0.4175,0.36037,0.47268
bartlettir,DB,1000,rising,gcc_50,2014-05-08,2014-05-12,2014-05-17,2014-05-07,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.37227,0.39184,0.42965,0.36322,0.47889
