Class,reclass,n,percentage,NEONID_network
Sedge/Herbaceous,"Grass, sedge and forbs",1685,91.3,BARR_AmeriFlux
Emergent Herbaceous Wetlands,Agriculture,160,8.7,BARR_AmeriFlux
Open Water,Open Water,15,0.8,BARR_NEON
Sedge/Herbaceous,"Grass, sedge and forbs",1686,91.4,BARR_NEON
Emergent Herbaceous Wetlands,Agriculture,144,7.8,BARR_NEON
Deciduous Forest,Deciduous Forest,881,43.2,BART_AmeriFlux
Mixed Forest,Evergreen forest,831,40.7,BART_AmeriFlux
"Developed, Open Space",Developed,161,7.9,BART_AmeriFlux
Grassland/Herbaceous,"Grass, sedge and forbs",90,4.4,BART_AmeriFlux
Evergreen Forest,Evergreen forest,57,2.8,BART_AmeriFlux
"Developed, Low Intensity",Developed,10,0.5,BART_AmeriFlux
"Developed, Medium Intensity",Developed,10,0.5,BART_AmeriFlux
Mixed Forest,Evergreen Forest,21446,41.7,BART_NEON
Deciduous Forest,Deciduous Forest,14556,28.3,BART_NEON
Evergreen Forest,Evergreen Forest,7541,14.7,BART_NEON
"Developed, Open Space",Developed,2331,4.5,BART_NEON
Woody Wetlands,Agriculture,1323,2.6,BART_NEON
"Developed, Low Intensity",Developed,1062,2.1,BART_NEON
Grassland/Herbaceous,"Grass, sedge and forbs",745,1.4,BART_NEON
Pasture/Hay,Agriculture,596,1.2,BART_NEON
Shrub/Scrub,Woody shurbs,579,1.1,BART_NEON
"Developed, Medium Intensity",Developed,486,0.9,BART_NEON
Emergent Herbaceous Wetlands,Agriculture,360,0.7,BART_NEON
Barren Land (Rock/Sand/Clay),Developed,269,0.5,BART_NEON
Open Water,Open Water,112,0.2,BART_NEON
Developed High Intensity,Developed,50,0.1,BART_NEON
"Developed, Open Space",Developed,42,4.8,BONA_AmeriFlux
"Developed, Low Intensity",Developed,67,7.7,BONA_AmeriFlux
Barren Land,Developed,10,1.1,BONA_AmeriFlux
Deciduous Forest,Deciduous Forest,40,4.6,BONA_AmeriFlux
Evergreen Forest,Evergreen Forest,147,16.9,BONA_AmeriFlux
Mixed Forest,Evergreen Forest,48,5.5,BONA_AmeriFlux
Woody Wetlands,Agriculture,517,59.4,BONA_AmeriFlux
Deciduous Forest,Deciduous Forest,640,26.6,BONA_NEON
Evergreen Forest,Evergreen Forest,820,34.1,BONA_NEON
Mixed Forest,Evergreen Forest,149,6.2,BONA_NEON
Shrub/Scrub,Woody shurbs,79,3.3,BONA_NEON
Woody Wetlands,Agriculture,720,29.9,BONA_NEON
Mixed Forest,Evergreen Forest,858,42.1,HARV_AmeriFlux
Deciduous Forest,Deciduous Forest,484,23.7,HARV_AmeriFlux
Woody Wetlands,Agriculture,343,16.8,HARV_AmeriFlux
Evergreen Forest,Evergreen Forest,201,9.9,HARV_AmeriFlux
Grassland/Herbaceous,"grass, sedge and forbs",143,7.0,HARV_AmeriFlux
Emergent Herbaceous Wetlands,Agriculture,10,0.5,HARV_AmeriFlux
Open Water,Open Water,1,0.0,HARV_AmeriFlux
Mixed Forest,Evergreen forest,2106,37.0,HARV_NEON
Deciduous Forest,Deciduous Forest,1608,28.2,HARV_NEON
Woody Wetlands,Agriculture,1047,18.4,HARV_NEON
Evergreen Forest,Evergreen forest,596,10.5,HARV_NEON
Grassland/Herbaceous,"grass, sedge and forbs",242,4.2,HARV_NEON
Shrub/Scrub,Woody shurbs,33,0.6,HARV_NEON
Emergent Herbaceous Wetlands,Agriculture,24,0.4,HARV_NEON
"Developed, Open Space",Developed,19,0.3,HARV_NEON
Pasture/Hay,Agriculture,15,0.3,HARV_NEON
"Developed, Low Intensity",Developed,4,0.1,HARV_NEON
Open Water,Open Water,1,0.0,HARV_NEON
Open Water,Open Water,162,6.4,HEAL_AmeriFlux
"Developed, Low Intensity",Developed,80,3.2,HEAL_AmeriFlux
Barren Land,Developed,43,1.7,HEAL_AmeriFlux
Evergreen Forest,Evergreen forest,181,7.2,HEAL_AmeriFlux
Dwarf Shrub,Woody shurbs,771,30.5,HEAL_AmeriFlux
Shrub/Scrub,Woody shurbs,1289,51.0,HEAL_AmeriFlux
"Developed, Low Intensity",Developed,14,1.5,HEAL_NEON
Dwarf Shrub,Woody shurbs,333,36.6,HEAL_NEON
Shrub/Scrub,Woody shurbs,561,61.7,HEAL_NEON
Grassland/Herbaceous,"Grass, sedge and forbs",1,0.1,HEAL_NEON
Grassland/Herbaceous,"Grass, sedge and forbs",3381,58.7,JORN_AmeriFlux
Shrub/Scrub,Woody shurbs,2373,41.2,JORN_AmeriFlux
Barren Land (Rock/Sand/Clay),Developed,8,0.1,JORN_AmeriFlux
Shrub/Scrub,Woody shurbs,1795,88.0,JORN_NEON
Grassland/Herbaceous,"grass, sedge and forbs",245,12.0,JORN_NEON
Grassland/Herbaceous,"grass, sedge and forbs",2032,99.6,KONZ_AmeriFlux
Deciduous Forest,Deciduous Forest,8,0.4,KONZ_AmeriFlux
Grassland/Herbaceous,,1959,96.0,KONZ_NEON
Deciduous Forest,,81,4.0,KONZ_NEON
Grassland/Herbaceous,"grass, sedge and forbs",858,42.1,NIWO_AmeriFlux
Shrub/Scrub,Woody shurbs,811,39.8,NIWO_AmeriFlux
Evergreen Forest,Evergreen forest,252,12.4,NIWO_AmeriFlux
Perennial Ice/Snow,Perennial Ice/Snow,119,5.8,NIWO_AmeriFlux
Grassland/Herbaceous,"grass, sedge and forbs",958,45.8,NIWO_NEON
