#
# Transition date estimate for NEON.D01.BART.DP1.00033
#
# Site: NEON.D01.BART.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2024
# Final Processing Date: 2024-10-16
# Final Processing Time: 15:13:08
# Spline RMSE gcc_mean: 0.00526
# Spline RMSE gcc_50: 0.00604
# Spline RMSE gcc_75: 0.00604
# Spline RMSE gcc_90: 0.00566
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_90,2017-05-05,2017-05-11,2017-05-16,2017-05-04,2017-05-10,2017-05-14,2017-05-08,2017-05-12,2017-05-17,0.35377,0.37208,0.40457,0.34487,0.45376
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_90,2018-05-07,2018-05-10,2018-05-15,2018-05-06,2018-05-09,2018-05-13,2018-05-09,2018-05-11,2018-05-16,0.35489,0.37062,0.40555,0.3457,0.45308
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_90,2019-05-13,2019-05-16,2019-05-21,2019-05-12,2019-05-15,2019-05-20,2019-05-15,2019-05-18,2019-05-22,0.35252,0.36733,0.40171,0.34518,0.44877
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_90,2020-05-15,2020-05-17,2020-05-22,2020-05-14,2020-05-16,2020-05-20,2020-05-16,2020-05-18,2020-05-23,0.35531,0.36973,0.41216,0.3456,0.46167
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_90,2021-05-07,2021-05-10,2021-05-15,2021-05-06,2021-05-09,2021-05-14,2021-05-09,2021-05-12,2021-05-16,0.35547,0.37125,0.40947,0.34592,0.46384
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_90,2022-05-08,2022-05-10,2022-05-14,2022-05-07,2022-05-09,2022-05-12,2022-05-09,2022-05-11,2022-05-15,0.3564,0.36882,0.41053,0.34564,0.45731
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_90,2023-05-04,2023-05-07,2023-05-12,2023-05-03,2023-05-06,2023-05-11,2023-05-06,2023-05-09,2023-05-13,0.35568,0.36755,0.40092,0.34649,0.44968
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_90,2024-05-08,2024-05-10,2024-05-14,2024-05-07,2024-05-09,2024-05-13,2024-05-09,2024-05-12,2024-05-15,0.35742,0.3681,0.40406,0.34672,0.45684
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_75,2017-05-06,2017-05-11,2017-05-16,2017-05-04,2017-05-10,2017-05-15,2017-05-08,2017-05-13,2017-05-17,0.3551,0.36909,0.40014,0.34432,0.45261
NEON.D01.BART.DP1.00033,DB,1000,rising,gcc_75,2018-05-08,2018-05-10,2018-05-15,2018-05-07,2018-05-09,2018-05-14,2018-05-09,2018-05-12,2018-05-16,0.35657,0.36796,0.40346,0.34518,0.45969
