#
# Transition date estimate for bbc7
#
# Site: bbc7
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2016
# Year max: 2024
# Final Processing Date: 2024-10-16
# Final Processing Time: 15:10:01
# Spline RMSE gcc_mean: 0.00439
# Spline RMSE gcc_50: 0.00461
# Spline RMSE gcc_75: 0.00456
# Spline RMSE gcc_90: 0.00465
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bbc7,DB,1000,rising,gcc_90,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.34597,0.36016,0.39293,0.33711,0.44814
bbc7,DB,1000,rising,gcc_90,2017-05-02,2017-05-07,2017-05-14,2017-05-01,2017-05-06,2017-05-13,2017-05-04,2017-05-09,2017-05-15,0.3457,0.36033,0.39007,0.33543,0.44288
bbc7,DB,1000,rising,gcc_90,2018-05-05,2018-05-08,2018-05-13,2018-05-04,2018-05-07,2018-05-12,2018-05-06,2018-05-09,2018-05-14,0.34598,0.36061,0.38928,0.33801,0.43852
bbc7,DB,1000,rising,gcc_90,2019-05-10,2019-05-14,2019-05-19,2019-05-09,2019-05-13,2019-05-18,2019-05-12,2019-05-15,2019-05-20,0.34743,0.36186,0.39004,0.33941,0.43816
bbc7,DB,1000,rising,gcc_90,2020-05-14,2020-05-17,2020-05-21,2020-05-13,2020-05-16,2020-05-19,2020-05-16,2020-05-18,2020-05-22,0.3505,0.37244,0.41039,0.34264,0.46372
bbc7,DB,1000,rising,gcc_90,2021-05-05,2021-05-08,2021-05-13,2021-05-04,2021-05-07,2021-05-12,2021-05-06,2021-05-10,2021-05-14,0.34794,0.36204,0.40089,0.33639,0.45868
bbc7,DB,1000,rising,gcc_90,2022-05-07,2022-05-11,2022-05-16,2022-05-06,2022-05-10,2022-05-14,2022-05-09,2022-05-12,2022-05-17,0.34878,0.36771,0.40598,0.34042,0.45681
bbc7,DB,1000,rising,gcc_90,2023-05-04,2023-05-07,2023-05-12,2023-05-03,2023-05-06,2023-05-10,2023-05-06,2023-05-08,2023-05-13,0.35123,0.36801,0.40183,0.34514,0.44708
bbc7,DB,1000,rising,gcc_90,2024-05-06,2024-05-09,2024-05-13,2024-05-05,2024-05-08,2024-05-12,2024-05-08,2024-05-10,2024-05-14,0.34601,0.36395,0.39746,0.33747,0.45501
bbc7,DB,1000,rising,gcc_75,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.3456,0.35981,0.39237,0.33669,0.44586
bbc7,DB,1000,rising,gcc_75,2017-05-02,2017-05-07,2017-05-14,2017-05-01,2017-05-06,2017-05-13,2017-05-04,2017-05-09,2017-05-15,0.34511,0.35975,0.38915,0.33494,0.44103
bbc7,DB,1000,rising,gcc_75,2018-05-05,2018-05-08,2018-05-13,2018-05-04,2018-05-07,2018-05-12,2018-05-06,2018-05-09,2018-05-14,0.34557,0.3601,0.38843,0.3376,0.43669
bbc7,DB,1000,rising,gcc_75,2019-05-10,2019-05-14,2019-05-19,2019-05-09,2019-05-13,2019-05-18,2019-05-12,2019-05-15,2019-05-20,0.34623,0.36046,0.38793,0.33851,0.43496
